ins,additive_name,food_category_code,food_category,max_level,limit_type,note,page
235,Natamycin,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext",40 mg/kg,numeric,"3, 80",93
234,Nisin,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext",12 mg/kg,numeric,,93
,SORBATES,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext","3,000 mg/kg",numeric,42,93
509,Calcium chloride,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext",200 mg/kg,numeric,,93
,RIBOFLAVINS,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext",300 mg/kg,numeric,,93
,"ra hard
grating
/sliced/cut/shr
eded cheese)",,,"9,000 mg/kg",numeric,,94
100,Curcumin,,,100 mg/kg,numeric,,94
160a(ii),"beta-Carotenes,",,,100 mg/kg,numeric,,94
160b(ii),"Annatto extracts,",,,100 mg/kg,numeric,,94
160b(i),"Annatto extracts,",,"Annatto extracts,
bixin-based",50 mg/kg,numeric,,94
,"Propionic acid,
sodium
propionate,
calcium
propionate,",,"Annatto extracts,
bixin-based","3,000 mg/kg",numeric,,94
160c,Paprika extract,,"Annatto extracts,
bixin-based",GMP,gmp,,94
,ASCORBYL,1.6.2.1,"Ripened
cheese
includes rind",500 mg/kg,numeric,,95
,CAROTENOID,1.6.2.1,"Ripened
cheese
includes rind",100 mg/kg,numeric,,95
,CHLOROPHYL,1.6.2.1,"Ripened
cheese
includes rind",15 mg/kg,numeric,,95
161g,Canthaxanthin,1.6.2.1,"Ripened
cheese
includes rind",15 mg/kg,numeric,,95
150d,Caramel IV -,1.6.2.1,"Ripened
cheese
includes rind","50,000 mg/kg",numeric,"50,000",95
160a(ii),"beta-Carotenes,",1.6.2.1,"Ripened
cheese
includes rind",600 mg/kg,numeric,,95
472e,Diacetyltartaric,1.6.2.1,"Ripened
cheese
includes rind","10,000 mg/kg",numeric,,95
239,Hexamethylene,1.6.2.1,"Ripened
cheese
includes rind",25 mg/kg,numeric,"66,",95
243,Lauric arginate,1.6.2.1,"Ripened
cheese
includes rind",200 mg/kg,numeric,,95
1105,Lysozyme,1.6.2.1,"Ripened
cheese
includes rind",GMP,gmp,,95
235,Natamycin,1.6.2.1,"Ripened
cheese
includes rind",40 mg/kg,numeric,,95
234,Nisin,1.6.2.1,"Ripened
cheese
includes rind",12 mg/kg,numeric,,95
,RIBOFLAVINS,1.6.2.1,RIBOFLAVINS,300 mg/kg,numeric,,95
,SORBATES,1.6.2.1,RIBOFLAVINS,"3,000 mg/kg",numeric,,95
129,Allura red AC,1.6.2.2,Rind of,100 mg/kg,numeric,,95
133,Brilliant blue FCF,,"ripened
cheese",100 mg/kg,numeric,,96
,CAROTENOID,,"ripened
cheese",500 mg/kg,numeric,,96
,CHLOROPHYL,,"ripened
cheese",75 mg/kg,numeric,,96
161g,Canthaxanthin,,"ripened
cheese",15 mg/kg,numeric,,96
150d,Caramel IV -,,"ripened
cheese","50,000 mg/kg",numeric,"50,000",96
160a(ii),"beta-Carotenes,",,"ripened
cheese","1,000 mg/kg",numeric,,96
163(ii),Grape skin extract,,"ripened
cheese","1,000 mg/kg",numeric,,96
,IRON OXIDES,,"ripened
cheese",100 mg/kg,numeric,,96
132,Indigotine (Indigo,,"ripened
cheese",100 mg/kg,numeric,,96
1105,Lysozyme,,"ripened
cheese",GMP,gmp,,96
235,Natamycin,,"ripened
cheese",40 mg/kg,numeric,,96
234,Nisin,,"ripened
cheese",12 mg/kg,numeric,,96
124,Ponceau 4R,,Ponceau 4R,100 mg/kg,numeric,,96
,RIBOFLAVINS,,Ponceau 4R,300 mg/kg,numeric,,96
,SORBATES,,Ponceau 4R,"3,000 mg/kg",numeric,,96
110,Sunset yellow,,Ponceau 4R,100 mg/kg,numeric,,96
,CAROTENOID,1.6.2.3,"Cheese
powder",100 mg/kg,numeric,,97
,CHLOROPHYL,1.6.2.3,"Cheese
powder",50 mg/kg,numeric,,97
161g,Canthaxanthin,1.6.2.3,"Cheese
powder",15 mg/kg,numeric,201,97
160a(ii),"beta-Carotenes,",1.6.2.3,"Cheese
powder","1,000 mg/kg",numeric,,97
1105,Lysozyme,1.6.2.3,"Cheese
powder",GMP,gmp,,97
235,Natamycin,1.6.2.3,"Cheese
powder",40 mg/kg,numeric,"3, 80",97
234,Nisin,1.6.2.3,"Cheese
powder",12 mg/kg,numeric,,97
,SORBATES,1.6.2.3,"Cheese
powder","3,000 mg/kg",numeric,42,97
243,Lauric arginate,1.6.3,Whey cheese,200 mg/kg,numeric,,97
,SORBATES,1.6.3,Whey cheese,"1,000 mg/kg",numeric,42,97
129,Allura red AC,1.6.4.1,"Plain
processed
cheese/
processed
cheese,
processed
cheese
spreads",100 mg/kg,numeric,,97
